omschrijving;mld_dat;Aantal
Tilburg                       ;08/12/2020;5
Twente/Achterhoek             ;08/12/2020;6
Veluwe-IJssel                 ;08/12/2020;3
West Brabant/Zeeland          ;08/12/2020;10
Zuid Limburg                  ;08/12/2020;7
Arnhem                        ;07/12/2020;4
Breda                         ;07/12/2020;5
Den Bosch                     ;07/12/2020;4
Eindhoven                     ;07/12/2020;11
Haaglanden                    ;07/12/2020;6
Kempenland                    ;07/12/2020;2
Midden Limburg                ;07/12/2020;8
Midden Nederland              ;07/12/2020;11
Nijmegen                      ;07/12/2020;8
NOORD                         ;07/12/2020;6
Ondernemersgebied             ;07/12/2020;13
Oost Brabant                  ;07/12/2020;1
Rotterdam                     ;07/12/2020;5
Tilburg                       ;07/12/2020;9
Twente/Achterhoek             ;07/12/2020;4
Veluwe-IJssel                 ;07/12/2020;2
West Brabant/Zeeland          ;07/12/2020;4
Zuid Limburg                  ;07/12/2020;2
Arnhem                        ;06/12/2020;6
Breda                         ;06/12/2020;7
Den Bosch                     ;06/12/2020;3
Eindhoven                     ;06/12/2020;5
Haaglanden                    ;06/12/2020;6
Kempenland                    ;06/12/2020;8
Midden Limburg                ;06/12/2020;5
Midden Nederland              ;06/12/2020;3
Nijmegen                      ;06/12/2020;6
NOORD                         ;06/12/2020;4
Ondernemersgebied             ;06/12/2020;9
Oost Brabant                  ;06/12/2020;4
Rotterdam                     ;06/12/2020;4
Tilburg                       ;06/12/2020;2
Twente/Achterhoek             ;06/12/2020;2
Veluwe-IJssel                 ;06/12/2020;4
West Brabant/Zeeland          ;06/12/2020;7
Zuid Limburg                  ;06/12/2020;5
Arnhem                        ;05/12/2020;5
Breda                         ;05/12/2020;7
Den Bosch                     ;05/12/2020;7
Eindhoven                     ;05/12/2020;2
Haaglanden                    ;05/12/2020;5
Kempenland                    ;05/12/2020;4
Midden Limburg                ;05/12/2020;7
Midden Nederland              ;05/12/2020;6
Nijmegen                      ;05/12/2020;4
NOORD                         ;05/12/2020;3
Ondernemersgebied             ;05/12/2020;13
Oost Brabant                  ;05/12/2020;6
Tilburg                       ;05/12/2020;5
Twente/Achterhoek             ;05/12/2020;6
Veluwe-IJssel                 ;05/12/2020;1
West Brabant/Zeeland          ;05/12/2020;6
Zuid Limburg                  ;05/12/2020;5
Arnhem                        ;04/12/2020;5
Breda                         ;04/12/2020;7
Den Bosch                     ;04/12/2020;7
Eindhoven                     ;04/12/2020;7
Haaglanden                    ;04/12/2020;4
Kempenland                    ;04/12/2020;6
Midden Limburg                ;04/12/2020;3
Midden Nederland              ;04/12/2020;4
Nijmegen                      ;04/12/2020;9
NOORD                         ;04/12/2020;2
Ondernemersgebied             ;04/12/2020;10
Oost Brabant                  ;04/12/2020;5
Rotterdam                     ;04/12/2020;4
Tilburg                       ;04/12/2020;7
Twente/Achterhoek             ;04/12/2020;3
Veluwe-IJssel                 ;04/12/2020;3
West Brabant/Zeeland          ;04/12/2020;3
Zuid Limburg                  ;04/12/2020;10
Arnhem                        ;03/12/2020;2
Breda                         ;03/12/2020;4
Eindhoven                     ;03/12/2020;10
Haaglanden                    ;03/12/2020;3
Kempenland                    ;03/12/2020;7
Midden Limburg                ;03/12/2020;6
Midden Nederland              ;03/12/2020;6
Nijmegen                      ;03/12/2020;5
NOORD                         ;03/12/2020;3
Ondernemersgebied             ;03/12/2020;9
Oost Brabant                  ;03/12/2020;5
Rotterdam                     ;03/12/2020;6
Tilburg                       ;03/12/2020;10
Twente/Achterhoek             ;03/12/2020;1
Veluwe-IJssel                 ;03/12/2020;1
West Brabant/Zeeland          ;03/12/2020;3
Zuid Limburg                  ;03/12/2020;2
Arnhem                        ;02/12/2020;5
Breda                         ;02/12/2020;3
Den Bosch                     ;02/12/2020;7
Eindhoven                     ;02/12/2020;6
Haaglanden                    ;02/12/2020;3
Kempenland                    ;02/12/2020;7
Midden Limburg                ;02/12/2020;6
Midden Nederland              ;02/12/2020;8
Nijmegen                      ;02/12/2020;9
NOORD                         ;02/12/2020;2
Ondernemersgebied             ;02/12/2020;9
Oost Brabant                  ;02/12/2020;8
Rotterdam                     ;02/12/2020;4
Tilburg                       ;02/12/2020;5
Twente/Achterhoek             ;02/12/2020;7
Veluwe-IJssel                 ;02/12/2020;1
West Brabant/Zeeland          ;02/12/2020;12
Zuid Limburg                  ;02/12/2020;2
Arnhem                        ;01/12/2020;8
Breda                         ;01/12/2020;4
Den Bosch                     ;01/12/2020;6
Eindhoven                     ;01/12/2020;6
Haaglanden                    ;01/12/2020;5
Kempenland                    ;01/12/2020;6
Midden Limburg                ;01/12/2020;5
Midden Nederland              ;01/12/2020;9
Nijmegen                      ;01/12/2020;5
NOORD                         ;01/12/2020;2
Ondernemersgebied             ;01/12/2020;11
Oost Brabant                  ;01/12/2020;3
Rotterdam                     ;01/12/2020;6
Tilburg                       ;01/12/2020;7
Twente/Achterhoek             ;01/12/2020;5
Veluwe-IJssel                 ;01/12/2020;1
West Brabant/Zeeland          ;01/12/2020;6
Zuid Limburg                  ;01/12/2020;8
Arnhem                        ;30/11/2020;3
Breda                         ;30/11/2020;4
Den Bosch                     ;30/11/2020;6
Eindhoven                     ;30/11/2020;7
Haaglanden                    ;30/11/2020;3
Kempenland                    ;30/11/2020;4
Midden Limburg                ;30/11/2020;5
Midden Nederland              ;30/11/2020;7
Nijmegen                      ;30/11/2020;4
NOORD                         ;30/11/2020;3
Ondernemersgebied             ;30/11/2020;13
Oost Brabant                  ;30/11/2020;3
Rotterdam                     ;30/11/2020;6
Tilburg                       ;30/11/2020;3
Twente/Achterhoek             ;30/11/2020;7
Veluwe-IJssel                 ;30/11/2020;3
West Brabant/Zeeland          ;30/11/2020;1
Zuid Limburg                  ;30/11/2020;2
Arnhem                        ;29/11/2020;1
Breda                         ;29/11/2020;5
Den Bosch                     ;29/11/2020;6
Eindhoven                     ;29/11/2020;8
Haaglanden                    ;29/11/2020;2
Kempenland                    ;29/11/2020;8
Midden Limburg                ;29/11/2020;2
Midden Nederland              ;29/11/2020;9
Nijmegen                      ;29/11/2020;1
NOORD                         ;29/11/2020;3
Ondernemersgebied             ;29/11/2020;6
Oost Brabant                  ;29/11/2020;5
Rotterdam                     ;29/11/2020;8
Tilburg                       ;29/11/2020;4
Twente/Achterhoek             ;29/11/2020;4
Veluwe-IJssel                 ;29/11/2020;3
West Brabant/Zeeland          ;29/11/2020;1
Zuid Limburg                  ;29/11/2020;4
Arnhem                        ;28/11/2020;5
Breda                         ;28/11/2020;7
Den Bosch                     ;28/11/2020;4
Eindhoven                     ;28/11/2020;8
Haaglanden                    ;28/11/2020;5
Kempenland                    ;28/11/2020;4
Midden Limburg                ;28/11/2020;8
Midden Nederland              ;28/11/2020;4
Nijmegen                      ;28/11/2020;10
NOORD                         ;28/11/2020;3
Ondernemersgebied             ;28/11/2020;8
Oost Brabant                  ;28/11/2020;2
Rotterdam                     ;28/11/2020;4
Tilburg                       ;28/11/2020;4
Twente/Achterhoek             ;28/11/2020;4
Veluwe-IJssel                 ;28/11/2020;3
West Brabant/Zeeland          ;28/11/2020;9
Zuid Limburg                  ;28/11/2020;6
Arnhem                        ;27/11/2020;4
Breda                         ;27/11/2020;8
Den Bosch                     ;27/11/2020;4
Eindhoven                     ;27/11/2020;6
Haaglanden                    ;27/11/2020;6
Kempenland                    ;27/11/2020;4
Midden Limburg                ;27/11/2020;6
Midden Nederland              ;27/11/2020;4
Nijmegen                      ;27/11/2020;7
NOORD                         ;27/11/2020;2
Ondernemersgebied             ;27/11/2020;14
Oost Brabant                  ;27/11/2020;3
Rotterdam                     ;27/11/2020;10
Tilburg                       ;27/11/2020;5
Twente/Achterhoek             ;27/11/2020;3
Veluwe-IJssel                 ;27/11/2020;2
West Brabant/Zeeland          ;27/11/2020;4
Zuid Limburg                  ;27/11/2020;6
